"","X","date","maxTemp","minTemp","avgTemp","tempDept","relHum","dewPoint","wetBulbTemp","heatDays","coolDays","sunrise","sunset","weatherType","precip","snow","snowDepth","stnPressure","seaPressure","windSpeed","windPeakSpeed","windPeakDir","windSusSpeed","windSusDir","dateYr","season","windSpeedLevel","windDir","changeMaxTemp"
"307",307," 11-02",64,53,58,13.3,83,56,NA,7,0,715,1729,"TS,RA,FG,BR","1.35","0.0","0",29.18,NA,4.6,18,320,16,320,"2016-11-02","Fall","Low","North",-13
"308",308," 11-03",58,45,52,7.6,80,47,NA,13,0,716,1727,"RA,BR","0.20","0.0","0",29.21,NA,6.4,21,350,16,350,"2016-11-03","Fall","Low","North",-6
"309",309," 11-04",57,35,46,2,72,38,NA,19,0,717,1726,"BR","0.00","0.0","0",29.42,NA,5.7,15,280,13,280,"2016-11-04","Fall","Low","West",-1
"310",310," 11-05",67,40,54,10.3,69,43,NA,11,0,719,1725,"BR","0.00","0.0","0",29.35,NA,7.7,19,260,16,280,"2016-11-05","Fall","Medium","West",10
"311",311," 11-06",68,34,51,7.7,67,39,NA,14,0,720,1724,"FG,BR,HZ","0.00","0.0","0",29.41,NA,2.9,12,180,9,170,"2016-11-06","Fall","Low","South",1
"312",312," 11-07",67,39,53,10.1,68,41,NA,12,0,721,1723,"FG,BR","0.00","0.0","0",29.39,NA,3.5,17,180,14,180,"2016-11-07","Fall","Low","South",-1
"313",313," 11-08",59,44,52,9.4,73,43,NA,13,0,722,1721,"RA","T","0.0","0",29.19,NA,10.2,27,340,20,250,"2016-11-08","Fall","High","West",-8
"314",314," 11-09",56,40,48,5.8,59,34,NA,17,0,724,1720,"","0.00","0.0","0",29.26,NA,8.8,25,20,18,360,"2016-11-09","Fall","Medium","North",-3
"315",315," 11-10",64,40,52,10.2,53,35,NA,13,0,725,1719,"","0.00","0.0","0",29.06,NA,14.8,37,240,29,250,"2016-11-10","Fall","High","West",8
"316",316," 11-11",54,31,42,0.6,54,29,NA,23,0,726,1718,"","0.00","0.0","0",29.21,NA,9.2,28,10,21,30,"2016-11-11","Fall","Medium","North",-10
"317",317," 11-12",49,25,37,-4.1,63,26,NA,28,0,727,1717,"","0.00","0.0","0",29.43,NA,7.1,21,260,17,260,"2016-11-12","Fall","Medium","West",-5
"318",318," 11-13",57,35,46,5.3,55,28,NA,19,0,729,1716,"","0.00","0.0","0",29.18,NA,13.2,27,220,21,230,"2016-11-13","Fall","High","West",8
"319",319," 11-14",58,39,48,7.7,59,33,NA,17,0,730,1715,"","0.00","0.0","0",29,NA,8.3,20,220,15,210,"2016-11-14","Fall","Medium","South",1
"320",320," 11-15",60,36,48,8.1,72,40,NA,17,0,731,1715,"BR,HZ","0.00","0.0","0",28.94,NA,5.1,23,290,17,280,"2016-11-15","Fall","Low","West",2
"321",321," 11-16",57,35,46,6.5,75,40,NA,19,0,732,1714,"FG,BR,HZ","0.00","0.0","0",28.97,NA,3.9,15,260,13,250,"2016-11-16","Fall","Low","West",-3
"322",322," 11-17",65,35,50,10.9,70,42,NA,15,0,734,1713,"BR,HZ","0.00","0.0","0",29,NA,11.1,27,180,22,160,"2016-11-17","Fall","High","South",8
"323",323," 11-18",72,48,60,21.3,66,49,NA,5,0,735,1712,"TS,RA,BR","0.30","0.0","0",28.9,NA,13.9,44,210,33,220,"2016-11-18","Fall","High","South",7
"324",324," 11-19",48,31,40,1.8,71,27,NA,25,0,736,1711,"SN,UP,HZ","T","T","0",28.95,NA,19.2,39,310,29,310,"2016-11-19","Fall","High","West",-24
"325",325," 11-20",32,28,30,-7.8,59,18,NA,35,0,737,1711,"","0.00","T","0",29.21,NA,14.7,32,320,24,300,"2016-11-20","Fall","High","West",-16
"326",326," 11-21",38,24,31,-6.4,59,17,NA,34,0,739,1710,"","0.00","0.0","0",29.26,NA,9.8,26,320,20,320,"2016-11-21","Fall","Medium","North",6
"327",327," 11-22",40,20,30,-7,66,19,NA,35,0,740,1709,"","0.00","0.0","0",29.36,NA,3.3,12,20,9,20,"2016-11-22","Fall","Low","North",2
"328",328," 11-23",38,25,32,-4.6,78,30,NA,33,0,741,1709,"RA,FZRA,BR,UP","0.50","T","0",29.22,NA,9.8,23,120,17,110,"2016-11-23","Fall","Medium","East",-2
"329",329," 11-24",44,38,41,4.8,88,38,NA,24,0,742,1708,"RA,BR","0.05","0.0","0",29.11,NA,8.6,21,260,16,270,"2016-11-24","Fall","Medium","West",6
"330",330," 11-25",41,37,39,3.3,83,35,NA,26,0,743,1708,"RA,BR","0.04","0.0","0",29.27,NA,9.3,16,240,13,250,"2016-11-25","Fall","Medium","West",-3
"331",331," 11-26",40,32,36,0.7,77,31,NA,29,0,744,1707,"","0.00","0.0","0",29.29,NA,8.4,22,260,17,260,"2016-11-26","Fall","Medium","West",-1
"332",332," 11-27",46,30,38,3.1,81,32,NA,27,0,746,1707,"BR,HZ","0.00","0.0","0",29.15,NA,6.9,17,200,13,200,"2016-11-27","Fall","Medium","South",6
"333",333," 11-28",50,37,44,9.5,78,38,NA,21,0,747,1706,"RA,BR","0.49","0.0","0",28.78,NA,16.1,40,160,30,160,"2016-11-28","Fall","High","South",4
"334",334," 11-29",58,47,52,17.9,67,42,NA,13,0,748,1706,"TS,RA,HZ","0.23","0.0","0",28.58,NA,13.5,49,160,36,160,"2016-11-29","Fall","High","South",8
"335",335," 11-30",52,37,44,10.3,76,38,NA,21,0,749,1705,"BR","T","0.0","0",28.66,NA,9.8,30,250,24,250,"2016-11-30","Fall","Medium","West",-6
"336",336," 12-01",42,35,38,4.7,82,33,36,27,0,750,1705,"RA,BR","0.01","T","0",28.77,29.76,12.8,27,210,20,250,"2016-12-01","Fall","High","West",-10
"337",337," 12-02",39,35,37,4.1,72,28,33,28,0,751,1705,"RA","T","0.0","0",29.1,30.11,11.2,26,290,21,310,"2016-12-02","Fall","High","West",-3
"338",338," 12-03",37,35,36,3.5,73,28,32,29,0,752,1705,"","T","T","0",29.33,30.31,6.2,15,260,13,270,"2016-12-03","Fall","Low","West",-2
"339",339," 12-04",37,32,34,1.9,77,27,32,31,0,753,1705,"SN,FG,BR","0.36","2.5","0",29.17,30.1,5.9,18,140,15,140,"2016-12-04","Fall","Low","South",0
"340",340," 12-05",39,27,33,1.3,83,29,32,32,0,754,1704,"SN,BR","T","T","2",29.03,30.01,8.6,22,260,16,220,"2016-12-05","Fall","Medium","South",2
"341",341," 12-06",42,23,32,0.7,80,29,32,33,0,755,1704,"BR","0.00","0.0","T",28.9,29.85,9.2,29,260,23,250,"2016-12-06","Fall","Medium","West",3
"342",342," 12-07",38,30,34,3.1,62,21,29,31,0,756,1704,"","0.00","0.0","0",29.01,29.99,17.1,35,260,25,270,"2016-12-07","Fall","High","West",-4
"343",343," 12-08",30,25,28,-2.6,75,19,24,37,0,757,1704,"SN,BR","0.04","1.0","0",29.19,30.14,16.7,34,250,26,260,"2016-12-08","Fall","High","West",-8
"344",344," 12-09",30,23,26,-4.2,75,19,24,39,0,758,1704,"SN,BR","0.01","0.2","1",29.41,30.4,10.2,22,270,17,290,"2016-12-09","Fall","High","West",0
"345",345," 12-10",26,20,23,-6.9,78,17,21,42,0,759,1704,"SN,BR","0.04","1.1","1",29.46,30.44,8.6,21,260,17,260,"2016-12-10","Fall","Medium","West",-4
"346",346," 12-11",30,22,26,-3.5,86,22,24,39,0,759,1704,"SN,FZFG,BR,FG","0.55","7.4","4",29.11,30.08,10.3,23,150,17,160,"2016-12-11","Fall","High","South",4
"347",347," 12-12",34,22,28,-1.2,76,23,27,37,0,800,1705,"SN,BR","0.04","T","10",28.91,29.94,13.8,33,260,26,260,"2016-12-12","Fall","High","West",4
"348",348," 12-13",27,9,18,-10.9,75,12,17,47,0,801,1705,"SN,BR,HZ","0.02","0.2","9",29.11,30.1,10.8,27,260,22,270,"2016-12-13","Fall","High","West",-7
"349",349," 12-14",21,9,15,-13.5,72,8,13,50,0,802,1705,"SN,BR,UP,HZ","0.05","1.4","8",29.05,30.06,16.7,39,290,30,280,"2016-12-14","Fall","High","West",-6
"350",350," 12-15",17,3,10,-18.2,68,0,7,55,0,803,1705,"SN,UP","T","T","7",29.24,30.29,11.3,32,270,28,260,"2016-12-15","Fall","High","West",-4
"351",351," 12-16",18,7,12,-15.9,69,4,11,53,0,803,1706,"SN","0.20","1.6","5",29.26,30.2,9.4,20,140,17,140,"2016-12-16","Fall","Medium","South",1
"352",352," 12-17",26,16,21,-6.7,81,16,20,44,0,804,1706,"FZRA,SN,FZFG,BR,UP,HZ,FG","0.06","0.6","7",28.77,29.74,4.1,26,90,14,140,"2016-12-17","Fall","Low","South",8
"353",353," 12-18",21,8,14,-13.4,71,8,14,51,0,804,1706,"SN,BR","T","T","6",29.21,30.29,8.1,21,340,16,340,"2016-12-18","Fall","Medium","North",-5
"354",354," 12-19",14,8,11,-16.1,57,-1,9,54,0,805,1707,"SN","T","T","5",29.65,30.65,11.5,24,200,20,210,"2016-12-19","Fall","High","South",-7
"355",355," 12-20",31,9,20,-6.8,49,5,17,45,0,806,1707,"","0.00","0.0","5",29.25,30.21,17.3,42,210,33,240,"2016-12-20","Fall","High","West",17
"356",356," 12-21",33,20,26,-0.6,75,20,25,39,0,806,1708,"BR,HZ","0.00","0.0","5",29.11,30.07,9.7,35,110,18,150,"2016-12-21","Fall","Medium","South",2
"357",357," 12-22",39,29,34,7.6,71,26,31,31,0,807,1708,"","0.00","0.0","5",29.15,30.17,11,22,260,18,260,"2016-12-22","Winter","High","West",6
"358",358," 12-23",36,27,32,5.9,75,25,29,33,0,807,1709,"RA,FZRA,BR,UP,HZ","0.08","T","4",29.28,30.23,9.6,24,150,15,220,"2016-12-23","Winter","Medium","South",-3
"359",359," 12-24",38,34,36,10.1,83,31,33,29,0,807,1710,"RA,SN,BR,UP","0.07","T","4",29.18,30.19,7.3,17,190,15,190,"2016-12-24","Winter","Medium","South",2
"360",360," 12-25",36,33,34,8.3,80,29,32,31,0,808,1710,"RA,BR","0.05","0.0","3",29.48,30.45,12,29,140,22,110,"2016-12-25","Winter","High","East",-2
"361",361," 12-26",55,34,44,18.5,79,38,42,21,0,808,1711,"RA,BR,UP","0.18","0.0","T",29.03,29.95,19.8,48,250,35,250,"2016-12-26","Winter","High","West",19
"362",362," 12-27",34,27,30,4.7,71,20,26,35,0,808,1712,"","0.00","T","0",29.05,30.04,16.5,44,270,33,270,"2016-12-27","Winter","High","West",-21
"363",363," 12-28",39,26,32,6.9,66,22,29,33,0,809,1712,"","0.00","0.0","0",29.07,30,10.3,29,150,24,160,"2016-12-28","Winter","High","South",5
"364",364," 12-29",38,29,34,9.1,71,25,31,31,0,809,1713,"SN","T","0.1","0",28.75,29.72,16.7,37,260,29,270,"2016-12-29","Winter","High","West",-1
"365",365," 12-30",30,26,28,3.2,64,17,25,37,0,809,1714,"SN","T","T","0",28.95,29.92,14,30,290,23,260,"2016-12-30","Winter","High","West",-8
"366",366," 12-31",43,28,36,11.4,56,21,30,29,0,809,1715,"","0.00","0.0","0",28.7,29.66,16.4,35,240,26,250,"2016-12-31","Winter","High","West",13
